threshold,accuracy,precision,recall,f1
0.2,0.6266666666666667,0.5094339622641509,0.9310344827586207,0.6585365853658537
0.25,0.6666666666666666,0.54,0.9310344827586207,0.6835443037974683
0.3,0.7333333333333333,0.6,0.9310344827586207,0.7297297297297297
0.35,0.7466666666666667,0.6136363636363636,0.9310344827586207,0.7397260273972602
0.39999999999999997,0.7733333333333333,0.6428571428571429,0.9310344827586207,0.7605633802816901
0.44999999999999996,0.7733333333333333,0.65,0.896551724137931,0.7536231884057971
0.49999999999999994,0.7866666666666666,0.6857142857142857,0.8275862068965517,0.75
0.5499999999999999,0.76,0.6774193548387096,0.7241379310344828,0.7
0.5999999999999999,0.7466666666666667,0.6785714285714286,0.6551724137931034,0.6666666666666666
0.6499999999999999,0.7333333333333333,0.6956521739130435,0.5517241379310345,0.6153846153846154
0.7,0.7333333333333333,0.7368421052631579,0.4827586206896552,0.5833333333333334
0.7499999999999998,0.64,0.5833333333333334,0.2413793103448276,0.34146341463414637
0.7999999999999998,0.6533333333333333,0.7142857142857143,0.1724137931034483,0.2777777777777778
